Personal_status,Other_parties,Residence_since,Property_magnitude,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
male single,none,4.0,real estate,67.0,own,2,skilled,yes,yes,1
female div/dep/mar,none,2.0,real estate,22.0,own,1,skilled,none,yes,0
male single,none,3.0,real estate,49.0,own,1,unskilled resident,none,yes,1
male single,guarantor,4.0,life insurance,45.0,for free,1,skilled,none,yes,1
male single,none,4.0,no known property,53.0,for free,2,skilled,none,yes,0
male single,none,4.0,no known property,35.0,for free,1,unskilled resident,yes,yes,1
male single,none,4.0,life insurance,53.0,own,1,skilled,none,yes,1
male single,none,2.0,car,35.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
male div/sep,none,4.0,real estate,61.0,own,1,unskilled resident,none,yes,1
male mar/wid,none,2.0,car,28.0,own,2,high qualif/self emp/mgmt,none,yes,0
female div/dep/mar,none,1.0,car,25.0,rent,1,skilled,none,yes,0
female div/dep/mar,none,4.0,life insurance,24.0,rent,1,skilled,none,yes,0
female div/dep/mar,none,1.0,car,22.0,own,1,skilled,yes,yes,1
male single,none,4.0,car,60.0,own,2,unskilled resident,none,yes,0
female div/dep/mar,none,4.0,car,28.0,rent,1,skilled,none,yes,1
female div/dep/mar,none,2.0,car,32.0,own,1,unskilled resident,none,yes,0
male single,none,4.0,life insurance,53.0,own,2,skilled,none,yes,1
male single,none,3.0,car,25.0,own,3,skilled,none,yes,1
female div/dep/mar,none,2.0,no known property,44.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
male single,none,2.0,car,31.0,own,1,skilled,yes,yes,1
male single,none,4.0,car,48.0,own,3,skilled,yes,yes,1
male single,none,3.0,real estate,44.0,rent,1,skilled,none,yes,1
male single,none,3.0,real estate,48.0,rent,2,unskilled resident,none,no,1
male single,none,4.0,life insurance,44.0,own,1,skilled,none,yes,1
male mar/wid,none,1.0,car,26.0,own,2,skilled,none,no,1
male single,none,2.0,real estate,36.0,own,1,unskilled resident,yes,yes,1
male mar/wid,none,4.0,car,39.0,own,1,unskilled resident,none,yes,1
female div/dep/mar,none,3.0,real estate,42.0,rent,2,skilled,none,yes,1
male single,guarantor,2.0,real estate,34.0,own,1,skilled,none,yes,1
male single,none,4.0,no known property,63.0,own,2,skilled,yes,yes,0
male mar/wid,none,3.0,real estate,36.0,own,1,skilled,yes,yes,1
male single,none,2.0,car,27.0,own,1,skilled,none,yes,1
male single,none,2.0,car,30.0,own,2,skilled,yes,yes,1
male single,none,4.0,no known property,57.0,rent,1,unskilled resident,none,yes,1
female div/dep/mar,none,1.0,life insurance,33.0,own,1,high qualif/self emp/mgmt,yes,yes,1
male single,none,2.0,life insurance,25.0,own,2,unskilled resident,none,yes,0
male single,none,3.0,no known property,31.0,for free,1,skilled,yes,yes,1
male single,co applicant,2.0,real estate,37.0,own,1,skilled,none,yes,0
male single,none,2.0,car,37.0,own,1,skilled,yes,yes,1
male single,none,3.0,real estate,24.0,own,1,skilled,none,yes,1
male single,none,2.0,car,30.0,own,1,high qualif/self emp/mgmt,none,yes,1
male div/sep,none,1.0,car,26.0,own,1,skilled,yes,yes,1
male single,none,4.0,real estate,44.0,own,1,unskilled resident,yes,yes,1
male mar/wid,none,4.0,car,24.0,rent,2,skilled,none,yes,1
female div/dep/mar,none,4.0,no known property,58.0,for free,2,unskilled resident,none,yes,0
female div/dep/mar,none,4.0,car,35.0,own,2,high qualif/self emp/mgmt,none,yes,1
